    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
       14525.13454,     0.08287298375,      0.4170813944,                 0,                 0,                 0,      0.1642000166,     0.06247312783,      0.4206208855,                 0,       5.032778784,   0.0006462560993
       14525.13454,     0.08107663495,       0.423282298,                 0,                 0,                 0,      0.1660782014,      0.0603770766,      0.4267270008,                 0,        5.22076796,   0.0006462560993
       14525.13454,     0.07934575468,      0.4291807481,                 0,                 0,                 0,      0.1677188507,     0.05836113834,      0.4325342078,                 0,       5.408994469,   0.0006462560993
       14525.13454,     0.07767927137,      0.4348098408,                 0,                 0,                 0,      0.1691312849,     0.05642263182,      0.4380755112,                 0,       5.597501536,   0.0006462560993
       14525.13454,     0.07607541167,      0.4402112678,                 0,                 0,                 0,      0.1703325493,     0.05455775639,       0.443392467,                 0,       5.786511807,   0.0006462560993
       14525.13454,     0.07453060393,      0.4454300487,                 0,                 0,                 0,      0.1713436901,     0.05276075332,      0.4485298676,                 0,       5.976471747,   0.0006462560993
       14525.13454,     0.07304064517,      0.4505200426,                 0,                 0,                 0,      0.1721931097,     0.05102480297,      0.4535413036,                 0,       6.168073154,   0.0006462560993
       14525.13454,     0.07160027158,      0.4555346657,                 0,                 0,                 0,      0.1729100283,     0.04934204772,      0.4584798718,                 0,       6.362191869,   0.0006462560993
       14525.13454,     0.07020333482,       0.460526797,                 0,                 0,                 0,      0.1735243655,     0.04770377262,      0.4633980892,                 0,       6.559899158,   0.0006462560993
       14525.13454,     0.06884277393,      0.4655449576,                 0,                 0,                 0,      0.1740639782,     0.04610056327,      0.4683440756,                 0,       6.762437522,   0.0006462560993
       14525.13454,     0.06751199761,      0.4706371593,                 0,                 0,                 0,      0.1745569293,      0.0445234992,      0.4733654651,                 0,        6.97116329,   0.0006462560993
       14525.13454,     0.06620488357,      0.4758443373,                 0,                 0,                 0,      0.1750273279,     0.04296447285,      0.4785028465,                 0,       7.187450709,   0.0006462560993
       14525.13454,     0.06491497837,       0.481195869,                 0,                 0,                 0,      0.1754925025,     0.04141560845,       0.483785248,                 0,        7.41270938,   0.0006462560993
       14525.13454,     0.06363620478,      0.4867088012,                 0,                 0,                 0,      0.1759626368,     0.03987000625,      0.4892294005,                 0,       7.648300254,   0.0006462560993
       14525.13454,     0.06236480325,      0.4923954222,                 0,                 0,                 0,      0.1764458975,     0.03832331297,      0.4948473948,                 0,       7.895405686,   0.0006462560993
       14525.13454,     0.06109833902,      0.4982581124,                 0,                 0,                 0,      0.1769452798,     0.03677298089,        0.50064149,                 0,       8.155018947,   0.0006462560993
       14525.13454,     0.05983540011,      0.5042843796,                 0,                 0,                 0,      0.1774564476,     0.03521820777,      0.5065991398,                 0,       8.427860074,   0.0006462560993
       14525.13454,      0.0585742149,      0.5104491919,                 0,                 0,                 0,      0.1779681446,     0.03365844252,      0.5126952559,                 0,       8.714571639,   0.0006462560993
       14525.13454,     0.05731582878,      0.5167221496,                 0,                 0,                 0,      0.1784675944,     0.03209620904,      0.5188995254,                 0,       9.015348126,   0.0006462560993
       14525.13454,     0.05606442847,      0.5230782437,                 0,                 0,                 0,      0.1789462759,     0.03053690637,      0.5251871728,                 0,       9.329948739,   0.0006462560993
       14525.13454,     0.05482367256,      0.5294793002,                 0,                 0,                 0,      0.1793895018,     0.02898604693,      0.5315202475,                 0,       9.657859013,   0.0006462560993
       14525.13454,      0.0535973652,      0.5358760495,                 0,                 0,                 0,      0.1797782963,     0.02744982856,      0.5378497233,                 0,       9.998178967,   0.0006462560993
       14525.13454,      0.0523901528,        0.54222341,                 0,                 0,                 0,      0.1800966557,     0.02593508653,      0.5441307984,                 0,       10.34971996,   0.0006462560993
       14525.13454,     0.05120919605,      0.5484833231,                 0,                 0,                 0,      0.1803343449,     0.02445082558,      0.5503258077,                 0,       10.71064116,   0.0006462560993
