"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
623, 5.713157057762150e-01, -4.003950580954550e-02, 4.165334750049127e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.471481595421025e+04, 1.000000000000000e-10, 2.966207263495777e+08, 3.788592638168408e+04, 3.168533818446287e+02, 0.000000000000000e+00, -4.330993548083154e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.924595537803405e-05, 2.399699695766334e-03, 3.255308465711546e-04, -1.665457039213555e+02, 2.219628294940110e+00, 1.404257703634211e-19
649, 5.538190603256230e-01, -4.237503558397290e-02, 4.118090184724113e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.360436326774667e+04, 1.000000000000000e-10, 3.001423023207477e+08, 3.744174530709864e+04, 3.167310034816871e+02, 0.000000000000000e+00, -7.389010486613012e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.924031741137929e-05, 2.501814192783350e-03, 3.280806787524190e-04, -1.828203717746091e+02, 2.252636436329286e+00, 1.372040663423886e-19
675, 5.363336801528930e-01, -4.462694749236110e-02, 4.068912494148192e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.244936448157932e+04, 1.000000000000000e-10, 3.038659777966381e+08, 3.697974579263171e+04, 3.166036494850381e+02, 0.000000000000000e+00, -1.056970057376065e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.923444907417365e-05, 2.613664525378405e-03, 3.280747261826467e-04, -2.021860245929043e+02, 2.287761714083790e+00, 1.339043090193864e-19
701, 5.188096761703490e-01, -4.676951467990880e-02, 4.020586535621857e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.131414995298634e+04, 1.000000000000000e-10, 3.073910123422349e+08, 3.652565998119451e+04, 3.164747047040453e+02, 0.000000000000000e+00, -1.369590784005862e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.922850624672362e-05, 2.728588306322200e-03, 3.231905595558542e-04, -2.238477986616801e+02, 2.323372370309148e+00, 1.307966049641812e-19
727, 5.012295246124270e-01, -4.878489673137660e-02, 3.973112133831464e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.019918366918822e+04, 1.000000000000000e-10, 3.112798579763435e+08, 3.607967346767527e+04, 3.163458352694755e+02, 0.000000000000000e+00, -1.676635453563348e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.922256569634128e-05, 2.847428193908883e-03, 3.139799096170423e-04, -2.476491658641883e+02, 2.357749904213192e+00, 1.276374069565645e-19
753, 4.835794866085050e-01, -5.065427348017690e-02, 3.925503446576555e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.908304955544569e+04, 1.000000000000000e-10, 3.150366859301566e+08, 3.563321982217825e+04, 3.162205206035640e+02, 0.000000000000000e+00, -1.984001725634377e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.921678786494586e-05, 2.968620139537959e-03, 3.004054828055711e-04, -2.749615021717580e+02, 2.392134506047642e+00, 1.246041067465589e-19
779, 4.658685922622680e-01, -5.236319825053220e-02, 3.879182130821082e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.799919719339137e+04, 1.000000000000000e-10, 3.188946601479229e+08, 3.519967887735653e+04, 3.161031882607813e+02, 0.000000000000000e+00, -2.282478096796400e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.921137704577326e-05, 3.091325859277543e-03, 2.808612098743249e-04, -3.065176606953113e+02, 2.425302735055989e+00, 1.216440870735429e-19
805, 4.480717480182650e-01, -5.388031527400020e-02, 3.839099982263608e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.705916974725797e+04, 1.000000000000000e-10, 3.220339240551677e+08, 3.482366789890316e+04, 3.159915251806456e+02, 0.000000000000000e+00, -2.541347284831204e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.920622674508071e-05, 3.217454638229921e-03, 2.533225307645516e-04, -3.409835485464880e+02, 2.461150040153991e+00, 1.192136074641732e-19
831, 4.301885962486270e-01, -5.517242103815080e-02, 3.805496390668144e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.627131192701624e+04, 1.000000000000000e-10, 3.249542383756828e+08, 3.450852477080648e+04, 3.158969440868544e+02, 0.000000000000000e+00, -2.758311284182238e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.920186362349390e-05, 3.338561041745084e-03, 2.191338104067251e-04, -3.763135567964956e+02, 2.494737520185551e+00, 1.171081398935394e-19
857, 4.122794568538670e-01, -5.622962117195130e-02, 3.778481677074412e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.564090114149134e+04, 1.000000000000000e-10, 3.272606233431042e+08, 3.425636045659651e+04, 3.158306284769844e+02, 0.000000000000000e+00, -2.931916777137234e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.919880403250769e-05, 3.444486425903566e-03, 1.790796007717773e-04, -4.119486299573046e+02, 2.524130238280218e+00, 1.154573212358963e-19
883, 3.944020271301270e-01, -5.703297257423400e-02, 3.766073163375104e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.534639518192357e+04, 1.000000000000000e-10, 3.284386505730254e+08, 3.413855807276940e+04, 3.157815602160234e+02, 0.000000000000000e+00, -3.013019216154638e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.919653997502966e-05, 3.546276095073044e-03, 1.306118489136608e-04, -4.456284574319189e+02, 2.555732396443535e+00, 1.146653848362552e-19
